config,seed,final_energy,mean_consistency,crystallizations,action_entropy
A,0,0.8,0.01,0,0.0
A,1,0.8,0.01,0,0.0
A,2,0.8,0.01,0,0.0
A,3,0.8,0.01,0,0.0
A,4,0.8,0.01,0,0.0
A,5,0.8,0.01,0,0.0
A,6,0.8,0.01,0,0.0
A,7,0.8,0.01,0,0.0
A,8,0.8,0.01,0,0.0
A,9,0.8,0.01,0,0.0
B,0,0.4444444444444444,0.02777777777777778,0,0.09999999999999998
B,1,0.4444444444444444,0.02777777777777778,0,0.09999999999999998
B,2,0.4444444444444444,0.02777777777777778,0,0.09999999999999998
B,3,0.4444444444444444,0.02777777777777778,0,0.09999999999999998
B,4,0.4444444444444444,0.02777777777777778,0,0.09999999999999998
B,5,0.4444444444444444,0.02777777777777778,0,0.09999999999999998
B,6,0.4444444444444444,0.02777777777777778,0,0.09999999999999998
B,7,0.4444444444444444,0.02777777777777778,0,0.09999999999999998
B,8,0.4444444444444444,0.02777777777777778,0,0.09999999999999998
B,9,0.4444444444444444,0.02777777777777778,0,0.09999999999999998
C,0,0.8,0.01,0,0.3
C,1,0.8,0.01,0,0.3
C,2,0.8,0.01,0,0.3
C,3,0.8,0.01,0,0.3
C,4,0.8,0.01,0,0.3
C,5,0.8,0.01,0,0.3
C,6,0.8,0.01,0,0.3
C,7,0.8,0.01,0,0.3
C,8,0.8,0.01,0,0.3
C,9,0.8,0.01,0,0.3
D,0,0.8,0.01,1,0.3
D,1,0.8,0.01,1,0.3
D,2,0.8,0.01,1,0.3
D,3,0.8,0.01,1,0.3
D,4,0.8,0.01,1,0.3
D,5,0.8,0.01,1,0.3
D,6,0.8,0.01,1,0.3
D,7,0.8,0.01,1,0.3
D,8,0.8,0.01,1,0.3
D,9,0.8,0.01,1,0.3
